Razão,Rua,Numero,Latitude,Longitude
CCISA77 INCORPORADORA LTDA.,FUNCHAL,411,-23.5945069,-46.6895385
CCISA68 INCORPORADORA LTDA.,FUNCHAL,411,-23.5945069,-46.6895385
TRISUL ANGELICA EMPREENDIMENTOS IMOBILIARIOS LTDA.,PAULISTA,37,-23.5710635,-46.6451532
MF ANGRA 01 EMPREENDIMENTOS IMOBILIARIOS LTDA,DR CARDOSO DE MELO,878,-23.599433,-46.682108
EBM INCORPORACOES 92 SPE LTDA,TEODORO SAMPAIO,1020,-23.5586669,-46.679911
DRAFT INC INCORPORACAO LTDA,PORTUGAL,1629,-23.6214934,-46.6871942
IMPERADOR EMPREENDIMENTOS SPE LTDA.,DO IMPERADOR,475,-23.5031303,-46.60498150000001
TENJO SPE EMPREENDIMENTOS IMOBILIARIOS EIRELI,MADRE MAZARELLO,217,-23.5394885,-46.7108059
EBM INCORPORACOES 88 SPE LTDA,TEODORO SAMPAIO,1020,-23.5586669,-46.679911
NR04 EMPREENDIMENTO IMOBILIARIO SPE LTDA.,ENG LUIZ CARLOS BERRINI,105,-23.5987337,-46.6901535
INOVA-ONE EMPREENDIMENTOS IMOBILIARIOS LTDA,ITAPURA,239,-23.5406014,-46.5670933
DR FAUSTO EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,PEDROSO ALVARENGA,691,-23.5816771,-46.6771335
LUSA 7 EMPREENDIMENTOS IMOBILIARIOS LTDA,BALTHAZAR DA VEIGA,634,-23.5937514,-46.6724348
TRISUL GARDENIA EMPREENDIMENTOS IMOBILIARIOS LTDA.,PAULISTA,37,-23.5710635,-46.6451532
TRISUL GAURA EMPREENDIMENTOS IMOBILIARIOS LTDA,PAULISTA,37,-23.5710635,-46.6451532
MF7 TITO INCORPORADORA SPE LTDA,DR RENATO PAES DE BARROS,750,-23.5854424,-46.6735879
LUSA 8 EMPREENDIMENTOS IMOBILIARIOS LTDA,BALTHAZAR DA VEIGA,634,-23.5937514,-46.6724348
LUSA 9 EMPREENDIMENTOS IMOBILIARIOS LTDA,BALTHAZAR DA VEIGA,634,-23.5937514,-46.6724348
A3 REAL ESTATE ADMINISTRACAO DE BENS LTDA,BENTA PEREIRA,140,-23.5007614,-46.6404029
42 SP PIRA ANTONIO DE TOLEDO INCORPORADORA SPE LTDA,DO ROCIO,291,-23.5944037,-46.68651089999999
43 SP SPO CRISTAIS INCORPORADORA SPE LTDA,DO ROCIO,291,-23.5944037,-46.68651089999999
41 SP SPO BALSA INCORPORADORA SPE LTDA,DO ROCIO,291,-23.5944037,-46.68651089999999
41 SP SPO BALSA INCORPORADORA SPE LTDA,BALSA,940,-23.5054178,-46.7022687
CUBE JARDIM GUEDALA INCORPORADORA IMOBILIARIA SPE LTDA,ALVARO RODRIGUES,152,-23.6216914,-46.6869449
AGUIA EMPREENDIMENTOS IMOBILIARIOS EIRELI,MANUEL DE SOUSA,99,-23.4907606,-46.6285084
SPAA EMPREENDIMENTOS IMOBILIARIOS LTDA,DR RANULPHO QUEIROZ GUIMARAES,26,-23.6012587,-46.5564773
CBR 102 EMPREENDIMENTOS IMOBILIARIOS LTDA,DO ROCIO,109,-23.5939131,-46.68476440000001
EUGEN EMPREENDIMENTOS SPE LTDA.,PAULO MALDI,87,-23.4824895,-46.6122157
SOMAUMA RBS INCORPORACOES SPE LTDA,ALVARO RODRIGUES,182,-23.6215043,-46.6869233
REGENTE FEIJO EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,CANTAGALO,74,-23.5473073,-46.5730526
ALTOS DE CAIEIRAS EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,HUNGRIA,888,-23.5796047,-46.6933243
MARIA ILDA AUGUSTO GUILHOTO EIRELI,LUCIO CARDOSO,80,-23.1814085,-46.8485848
DREAM HOUSE CONSTRUTORA E INCORPORADORA EIRELI,RIO NEGRO,513,-23.5276893,-46.4818741
LOGICA MORUMBI INCORPORACOES IMOBILIARIAS SPE LTDA,ENG LUIZ CARLOS BERRINI,1493,-23.6098368,-46.6942023
USAGI EMPREENDIMENTOS E PARTICIPACOES LTDA,DR CARDOSO DE MELO,900,-23.5992416,-46.682502
45 SP PAULINIA JOAO VIEIRA INCORPORADORA SPE LTDA,DO ROCIO,291,-23.5944037,-46.68651089999999
44 SP ARARAS MELVIN JONES INCORPORADORA SPE LTDA,DO ROCIO,291,-23.5944037,-46.68651089999999
46 SP VOTU DOMINGOS INCORPORADORA SPE LTDA,DO ROCIO,291,-23.5944037,-46.68651089999999
CAPRICHO EMPREENDIMENTOS SPE LTDA.,CAPRICHO,1186,-23.476885,-46.5941857
RABO DO PEIXE EMPREENDIMENTOS TURISTICOS E IMOBILIARIOS SPE LTDA.,PEDROSO ALVARENGA,1208,-23.5826126,-46.6821951
EDGAR EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,EDGAR,173,-23.5033696,-46.5968426
AVVIO FIRENZE EMPREENDIMENTOS IMOBILIARIOS LTDA,HADDOCK LOBO,1307,-23.5627949,-46.66621809999999
J C J INCORPORADORA LTDA,JOSE TAVARES SIQUEIRA,80,-23.5337167,-46.5676485
RESIDENCIAL SILVERIO GONCALVES EMPREENDIMENTO IMOBILIARIO - SPE - LTDA,SILVERIO GONCALVES,S/N,-23.4900488,-46.67984970000001
PRP BELLEGARDI EMPREENDIMENTO IMOBILIARIO SPE LTDA,EMILIO MALLET,317,-23.547313,-46.57077899999999
CYMA 08 EMPREEDIMENTOS IMOBILIARIOS LTDA,DO ROCIO,109,-23.5939131,-46.68476440000001
CYMA 09 EMPREEDIMENTOS IMOBILIARIOS LTDA,DO ROCIO,109,-23.5939131,-46.68476440000001
AMERICA IDEA EMPREENDIMENTOS LTDA,NATINGUI,442,-23.5508413,-46.69570119999999
JACAREI INCORPORADORA LTDA,REPUBLICA DO LIBANO,1921,-23.5970437,-46.6621226
LOGICA MOOCA INCORPORACOES IMOBILIARIAS SPE LTDA.,ENG LUIZ CARLOS BERRINI,1493,-23.6098368,-46.6942023
DAMA I EMPREENDIMENTO IMOBILIARIO SPE LTDA,JOSE TAVARES SIQUEIRA,510,-23.5298007,-46.56888319999999
EMILIA EMPREENDIMENTO IMOBILIARIO SPE LTDA,DR VEIGA FILHO,350,-23.5399014,-46.65901119999999
LA BRUNETTI EMPREENDIMENTO IMOBILIARIO SPE LTDA,DR VEIGA FILHO,350,-23.5399014,-46.65901119999999
MDTO EMPREENDIMENTOS E PARTICIPACOES LTDA,CELSO GARCIA,6002,-23.530203,-46.5551306
M.A.R. TROIA DESENVOLVIMENTO IMOBILIARIO SPE LTDA.,DR CARDOSO DE MELO,1340,-23.5971451,-46.68714079999999
M.A.R. SANTORINI DESENVOLVIMENTO IMOBILIARIO SPE LTDA.,DR CARDOSO DE MELO,1340,-23.5971451,-46.68714079999999
M.A.R. HIDRA DESENVOLVIMENTO IMOBILIARIO SPE LTDA.,DR CARDOSO DE MELO,1340,-23.5971451,-46.68714079999999
M.A.R. CRETA DESENVOLVIMENTO IMOBILIARIO SPE LTDA.,DR CARDOSO DE MELO,1340,-23.5971451,-46.68714079999999
M.A.R. ALEXANDRIA DESENVOLVIMENTO IMOBILIARIO SPE LTDA.,DR CARDOSO DE MELO,1340,-23.5971451,-46.68714079999999
IDEA EMPREENDIMENTOS 42 LTDA,NATINGUI,442,-23.5508413,-46.69570119999999
LISBOA 142 EMPREENDIMENTOS IMOBILIARIOS LTDA.,EUGENIO DE MEDEIROS,639,-23.5655471,-46.70047479999999
SPO12 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,DAS NACOES UNIDAS,12399,-23.6331339,-46.7164499
PIRES DA MOTA EMPREENDIMENTO IMOBILIARIO SPE LTDA,CUNHA,111,-23.5952367,-46.6377062
NEW LIFE III GRANJA VIANA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,DAS NACOES UNIDAS,12399,-23.6331339,-46.7164499
DHARAG INCORPORADORA LTDA,ANTONIO FREDERICO,565,-23.6000247,-46.59216230000001
REMANSO EMPREENDIMENTO IMOBILIARIO LTDA.,CENNO SBRIGHI,170,-23.5134795,-46.6945018
MARQUES RESIDENCE SPE LTDA.,ADEMAR DE AZEVEDO MARQUES,84,-23.4746393,-46.58820559999999
IDEA EMPREENDIMENTOS 41 LTDA,NATINGUI,442,-23.5508413,-46.69570119999999
CONSORCIO DE URBANIZACAO PAULINIA 3,BRIGADEIRO FARIA LIMA,3015,-23.5831718,-46.683338
SEKI INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIO EIRELI,JABOTICABAL,980,-23.5648829,-46.5762741
LEVLAR CONSTRUTORA E INCORPORADORA EIRELI,PAULISTA,807,-23.5667005,-46.6509627
PLANIK 32 EMPREENDIMENTO IMOBILIARIO SPE LTDA,ANGELICA,2163,-23.5515149,-46.6601517
ZOEY ZABO EMPREENDIMENTO IMOBILIARIO SPE LTDA,ESTADOS UNIDOS,1044,-23.5693627,-46.6652155
BEATRIZ ZABO EMPREENDIMENTO IMOBILIARIO SPE LTDA,ESTADOS UNIDOS,1044,-23.5693627,-46.6652155
CEIRY PADRE PEREIRA DE ANDRADE EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,FUNCHAL,375,-23.5942334,-46.68948880000001
ADDRESS BUTANTA EMPREENDIMENTO SPE LTDA,HELENA,170,-23.592914,-46.68595690000001
CASALINDA INCORPORADORA EIRELI,CANTAGALO,1691,-23.5439067,-46.5577736
MMEDG INCORPORADORA - SPE LTDA,AURELIA,1716,-23.5371406,-46.6978337
AUREA GESTAO DE PARTICIPACOES SOCIETARIAS LTDA,MERGENTHALER,345,-23.5275851,-46.7352717
MCP 2 DESENVOLVIMENTO IMOBILIARIO LTDA,ANGELICA,2163,-23.5515149,-46.6601517
MCP 1 DESENVOLVIMENTO IMOBILIARIO LTDA,ANGELICA,2163,-23.5515149,-46.6601517
MCP 3 DESENVOLVIMENTO IMOBILIARIO LTDA,ANGELICA,2163,-23.5515149,-46.6601517
FERGOMAZ GUAPERUVU EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,GUAPERUVU,425,-23.5366602,-46.5384
COSTA REIS CONSTRUTORA E EMPREENDIMENTOS EIRELI,GIOVANNI GRONCHI,6195,-23.6336287,-46.7366238
SANAY 70 EMPREENDIMENTO IMOBILIARIO SPE LTDA,CERRO CORA,585,-23.5410251,-46.7030991
SANAY 72 EMPREENDIMENTO IMOBILIARIO SPE LTDA,CERRO CORA,585,-23.5410251,-46.7030991
SANAY 71 EMPREENDIMENTO IMOBILIARIO SPE LTDA,CERRO CORA,585,-23.5410251,-46.7030991
G.M.F.M.A.C ADMINISTRACAO, LOCACAO E PARTICIPACOES LTDA,GAL ATALIBA LEONEL,1205,-23.5017462,-46.61721439999999
CAMACARI TECH PARK SPE EMPREENDIMENTOS IMOBILIARIOS LTDA.,DR RENATO PAES DE BARROS,714,-23.5850232,-46.6736461
TAUPO EMPREENDIMENTO IMOBILIARIO SPE LTDA,MELCHERT,132,-23.533349,-46.535307
RESERVA DO CONDE SPE EMPREENDIMENTOS IMOBILIARIOS LTDA.,ALVARES PENTEADO,61,-23.5480082,-46.6347496
NEW LIFE AMERICA SPE EMPREENDIMENTO IMOBILIARIO LTDA.,SARG ESTANISLAU CUSTODIO,70,-23.6014711,-46.7488026
SPE RAQUEL - EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,MICHIGAN,135,-23.6174365,-46.68277140000001
